School & College Undergraduate Credit Hours 2000,,,,,
,Total,Freshman,Sophomore,Junior,Senior/Special
Architecture,2534,0,0,1246,1288
Dentistry,1567,0,748,508,311
Education,4725,0,0,1860,2865
Engineering,67118.5,15447,13674,16013,21984.5
Kinesiology,9993,1959,2763,2690,2581
Literature Science & the Arts,222906,58608,58540,51946,53812
Music Theater & Dance,11119,3106,2648,2240,3125
Natural Resources & Environment,4770,1188,961,1198,1423
Nursing ,6642,1248,1447,1825,2122
Pharmacy,1493,0,0,853,640
Ross School of Business,9002,0,0,4535,4467
Stamps School of Art & Design,7978,1878,1715,2230,2155
